Date,eth_usdc_uniV3,eth_usdc_shift_1,log_return_sqrd
2025-05-21 09:20:00,2528.428367745371,2527.8237337388764,5.719890248321647e-08
2025-05-21 09:21:00,2528.958482675784,2528.428367745371,4.3948870355442444e-08
2025-05-21 09:22:00,2530.75144197207,2528.958482675784,5.022843535243052e-07
2025-05-21 09:23:00,2530.537984183591,2530.75144197207,7.1147829791624666e-09
2025-05-21 09:24:00,2532.26884354943,2530.537984183591,4.675207336514091e-07
2025-05-21 09:25:00,2529.727007080447,2532.26884354943,1.0085831483064864e-06
2025-05-21 09:26:00,2528.796552452202,2529.727007080447,1.3533273166637441e-07
2025-05-21 09:27:00,2527.8714288762167,2528.796552452202,1.3388459848886004e-07
2025-05-21 09:28:00,2527.871154455345,2527.8714288762167,1.1784858271220877e-14
2025-05-21 09:29:00,2527.893771357517,2527.871154455345,8.004836854210857e-11
2025-05-21 09:30:00,2526.0798494523597,2527.893771357517,5.152657289727342e-07
2025-05-21 09:31:00,2528.4716417375157,2526.0798494523597,8.956570059976772e-07
2025-05-21 09:32:00,2528.4568384959016,2528.4716417375157,3.427678051876523e-11
2025-05-21 09:33:00,2528.5742363953323,2528.4568384959016,2.1557053490091856e-09
2025-05-21 09:34:00,2528.616932574834,2528.5742363953323,2.851144843619211e-10
2025-05-21 09:35:00,2529.293497644809,2528.616932574834,7.157096488536597e-08
2025-05-21 09:36:00,2530.042484355371,2529.293497644809,8.766397906472998e-08
2025-05-21 09:37:00,2530.90805568825,2530.042484355371,1.1700422455667618e-07
2025-05-21 09:38:00,2531.5577779534306,2530.90805568825,6.588571832184787e-08
2025-05-21 09:39:00,2531.557012100378,2531.5577779534306,9.151985834618174e-14
2025-05-21 09:40:00,2527.4817533584915,2531.557012100378,2.5955807232862538e-06
2025-05-21 09:41:00,2523.378057460223,2527.4817533584915,2.6404618287523965e-06
2025-05-21 09:42:00,2521.749034367587,2523.378057460223,4.1703286444200385e-07
2025-05-21 09:43:00,2521.749034367587,2521.749034367587,0.0
2025-05-21 09:44:00,2521.3090002746817,2521.749034367587,3.045402595867017e-08
2025-05-21 09:45:00,2521.222508326426,2521.3090002746817,1.1768310265895412e-09
2025-05-21 09:46:00,2525.075043270716,2521.222508326426,2.3313507823873306e-06
2025-05-21 09:47:00,2522.9727105536745,2525.075043270716,6.937708212181835e-07
2025-05-21 09:48:00,2522.979625500343,2522.9727105536745,7.511927253379903e-12
2025-05-21 09:49:00,2522.979625500343,2522.979625500343,0.0
2025-05-21 09:50:00,2522.9377231126223,2522.979625500343,2.7584001535099953e-10
2025-05-21 09:51:00,2523.199733421269,2522.9377231126223,1.0783968150744883e-08
2025-05-21 09:52:00,2523.586152514118,2523.199733421269,2.3450245119405808e-08
2025-05-21 09:53:00,2523.6070458669756,2523.586152514118,6.854509944842935e-11
2025-05-21 09:54:00,2524.490839959559,2523.6070458669756,1.2260456866044416e-07
2025-05-21 09:55:00,2524.496958663947,2524.490839959559,5.874491672017595e-12
2025-05-21 09:56:00,2524.4880179826346,2524.496958663947,1.254275861014311e-11
2025-05-21 09:57:00,2525.1398430246813,2524.4880179826346,6.665048776334601e-08
2025-05-21 09:58:00,2525.1399719241526,2525.1398430246813,2.6057418016288697e-15
2025-05-21 09:59:00,2524.622826776018,2525.1399719241526,4.195106070473738e-08
